"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Urokinase-type plasminogen activator","PLAU","P00749","CHEMBL3286","Protease","0.0358982054731","111 /  5     "
"Vasopressin V1a receptor","AVPR1A","P37288","CHEMBL1889","Family A G protein-coupled receptor","0.0358982054731","40 /  82     "
"Galanin receptor 1   (by homology)","GALR1","P47211","CHEMBL4894","Family A G protein-coupled receptor","0.0358982054731","0 /  7     "
"Galanin receptor 2   (by homology)","GALR2","O43603","CHEMBL3176","Family A G protein-coupled receptor","0.0358982054731","0 /  7     "
"C-X-C chemokine receptor type 7","ACKR3","P25106","CHEMBL2010631","Family A G protein-coupled receptor","0.0358982054731","3 /  8     "
"Vasopressin V2 receptor","AVPR2","P30518","CHEMBL1790","Family A G protein-coupled receptor","0.0358982054731","46 /  66     "
"Oxytocin receptor","OXTR","P30559","CHEMBL2049","Family A G protein-coupled receptor","0.0358982054731","44 /  141     "
"Thyrotropin-releasing hormone receptor   (by homology)","TRHR","P34981","CHEMBL1810","Family A G protein-coupled receptor","0.0358982054731","0 /  2     "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.0358982054731","103 /  102     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.0358982054731","81 /  46     "
"Integrin alpha-5/beta-1","ITGB1 ITGA5","P05556 P08648","CHEMBL2095226","Membrane receptor","0.0358982054731","0 /  19     "
"Integrin alpha-V/beta-5","ITGB5 ITGAV","P18084 P06756","CHEMBL2096675","Membrane receptor","0.0358982054731","0 /  18     "
"Integrin alpha-V/beta-6","ITGAV ITGB6","P06756 P18564","CHEMBL2111416","Membrane receptor","0.0358982054731","0 /  9     "
"Vitronectin receptor alpha","ITGAV","P06756","CHEMBL3660","Membrane receptor","0.0358982054731","0 /  4     "
"Neurotensin receptor 3","SORT1","Q99523","CHEMBL3091","Membrane receptor","0.0358982054731","0 /  19     "
"Dipeptidyl peptidase IV","DPP4","P27487","CHEMBL284","Protease","0.0358982054731","182 /  275     "
"Bradykinin B1 receptor","BDKRB1","P46663","CHEMBL4308","Family A G protein-coupled receptor","0.0358982054731","27 /  3     "
"HLA class I histocompatibility antigen A-3","HLA-A","P04439","CHEMBL2632","Surface antigen","0.0358982054731","0 /  33     "
"Neurokinin 3 receptor","TACR3","P29371","CHEMBL4429","Family A G protein-coupled receptor","0.0358982054731","26 /  102     "
"Integrin alpha-V/beta-3","ITGAV ITGB3","P06756 P05106","CHEMBL1907598","Membrane receptor","0.0358982054731","1 /  52     "
"HLA class II histocompatibility antigen DRB1-1","HLA-DRB1","P04229","CHEMBL1943","Surface antigen","0.0358982054731","7 /  34     "
"Caspase-1","CASP1","P29466","CHEMBL4801","Protease","0.0358982054731","0 /  47     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0358982054731","39 /  390     "
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","0.0358982054731","92 /  98     "
"E3 SUMO-protein ligase CBX4","CBX4","O00257","CHEMBL3232685","Enzyme","0.0358982054731","0 /  2     "
"Appetite-regulating hormone","GHRL","Q9UBU3","CHEMBL1921664","Unclassified protein","0.0358982054731","1 /  45     "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.0358982054731","20 /  34     "
"C5a anaphylatoxin chemotactic receptor","C5AR1","P21730","CHEMBL2373","Family A G protein-coupled receptor","0.0358982054731","6 /  50     "
"Neuropeptide FF receptor 1","NPFFR1","Q9GZQ6","CHEMBL5951","Family A G protein-coupled receptor","0.0358982054731","11 /  40     "
"Proenkephalin B","PDYN","P01213","CHEMBL2227","Other ion channel","0.0358982054731","0 /  1     "
"Carboxypeptidase A1","CPA1","P15085","CHEMBL2088","Protease","0.0358982054731","0 /  14     "
"Carboxypeptidase N, catalytic subunit","CPN1","P15169","CHEMBL4713","Protease","0.0358982054731","0 /  3     "
"HLA class II histocompatibility antigen DRB3-1","HLA-DRB3","P79483","CHEMBL3460","Surface antigen","0.0358982054731","0 /  4     "
"Integrin alpha-4","ITGA4","P13612","CHEMBL278","Membrane receptor","0.0358982054731","0 /  11     "
"Glutamate receptor ionotropic, AMPA 1","GRIA1","P42261","CHEMBL2009","Ligand-gated ion channel","0.0358982054731","1 /  22     "
"ADAM17","ADAM17","P78536","CHEMBL3706","Protease","0.0358982054731","42 /  43     "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.0358982054731","22 /  78     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0358982054731","52 /  3     "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.0358982054731","27 /  93     "
"Cathepsin (B and K)","CTSB","P07858","CHEMBL4072","Protease","0.0358982054731","7 /  135     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.0358982054731","33 /  13     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.0358982054731","0 /  14     "
"Coagulation factor XI","F11","P03951","CHEMBL2820","Protease","0.0358982054731","86 /  6     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.0358982054731","48 /  408     "
"Cathepsin S","CTSS","P25774","CHEMBL2954","Protease","0.0358982054731","16 /  82     "
"Metastin receptor","KISS1R","Q969F8","CHEMBL5413","Family A G protein-coupled receptor","0.0358982054731","3 /  8     "
"Lipoxin A4 receptor","FPR2","P25090","CHEMBL4227","Family A G protein-coupled receptor","0.0358982054731","2 /  9     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0358982054731","43 /  350     "
"C3a anaphylatoxin chemotactic receptor","C3AR1","Q16581","CHEMBL4761","Family A G protein-coupled receptor","0.0358982054731","0 /  13     "
"Baculoviral IAP repeat-containing protein 2","BIRC2","Q13490","CHEMBL5462","Enzyme","0.0358982054731","15 /  60     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0358982054731","99 /  450     "
"Angiotensin II receptor","AGTR2","P50052","CHEMBL4607","Family A G protein-coupled receptor","0.0358982054731","0 /  10     "
"Calpain 1","CAPN1","P07384","CHEMBL3891","Protease","0.0358982054731","2 /  109     "
"Baculoviral IAP repeat-containing protein 3","BIRC3","Q13489","CHEMBL5335","Enzyme","0.0358982054731","5 /  32     "
"SHC-transforming protein 1","SHC1","P29353","CHEMBL5626","Unclassified protein","0.0358982054731","0 /  3     "
"Tyrosine-protein kinase BRK","PTK6","Q13882","CHEMBL4601","Kinase","0.0","39 /  0     "
"Cholecystokinin B receptor","CCKBR","P32239","CHEMBL298","Family A G protein-coupled receptor","0.0","7 /  168     "
"Matrix metalloproteinase 8","MMP8","P22894","CHEMBL4588","Protease","0.0","9 /  144     "
"Complement factor D","CFD","P00746","CHEMBL2176771","Protease","0.0","39 /  0     "
"Endoplasmic reticulum aminopeptidase 2","ERAP2","Q6P179","CHEMBL5043","Protease","0.0","12 /  0     "
"Histone deacetylase 3","HDAC3","O15379","CHEMBL1829","Eraser","0.0","33 /  42     "
"Adenosine A1 receptor","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0","30 /  0     "
"Adenosine A2a receptor","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.0","24 /  0     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0","65 /  0     "
"FK506-binding protein 1A","FKBP1A","P62942","CHEMBL1902","Isomerase","0.0","0 /  50     "
"Peptidyl-prolyl cis-trans isomerase FKBP5","FKBP5","Q13451","CHEMBL2052031","Enzyme","0.0","0 /  27     "
"NAD-dependent deacetylase sirtuin 1","SIRT1","Q96EB6","CHEMBL4506","Eraser","0.0","13 /  16     "
"Integrin alpha-IIb/beta-3","ITGA2B ITGB3","P08514 P05106","CHEMBL2093869","Membrane receptor","0.0","8 /  74     "
"Chymotrypsin C","CTRC","Q99895","CHEMBL2386","Protease","0.0","0 /  4     "
"HERG","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.0","179 /  59     "
"Cathepsin D","CTSD","P07339","CHEMBL2581","Protease","0.0","0 /  68     "
